name,album_type,total_tracks,release_date,artist_id,artist_name
"The End, So Far",album,12,2022,05fG473iIaoy82BF1aGhL8,Slipknot
We Are Not Your Kind,album,14,2019,05fG473iIaoy82BF1aGhL8,Slipknot
Day Of The Gusano (Live),album,17,2017,05fG473iIaoy82BF1aGhL8,Slipknot
.5: The Gray Chapter (Special Edition),album,16,2014,05fG473iIaoy82BF1aGhL8,Slipknot
Slipknot (10th Anniversary Edition),album,25,2009,05fG473iIaoy82BF1aGhL8,Slipknot
All Hope Is Gone,album,15,2008,05fG473iIaoy82BF1aGhL8,Slipknot
All Hope Is Gone (10th Anniversary),album,28,2008,05fG473iIaoy82BF1aGhL8,Slipknot
9.0 Live,album,24,2005,05fG473iIaoy82BF1aGhL8,Slipknot
Vol. 3: The Subliminal Verses,album,22,2004,05fG473iIaoy82BF1aGhL8,Slipknot
Iowa,album,33,2001,05fG473iIaoy82BF1aGhL8,Slipknot
Slipknot,album,15,1999,05fG473iIaoy82BF1aGhL8,Slipknot
HYPA HYPA Tour - Live in Ludwigsburg,album,18,2023,1WNoKxsp715jez1Td4vthc,Electric Callboy
TEKKNO (Tour Edition),album,15,2023,1WNoKxsp715jez1Td4vthc,Electric Callboy
TEKKNO,album,10,2022,1WNoKxsp715jez1Td4vthc,Electric Callboy
MMXX - Hypa Hypa Edition,album,13,2021,1WNoKxsp715jez1Td4vthc,Electric Callboy
Rehab (Bonus Tracks Version),album,13,2019,1WNoKxsp715jez1Td4vthc,Electric Callboy
The Scene - Live in Cologne,album,17,2018,1WNoKxsp715jez1Td4vthc,Electric Callboy
The Scene,album,14,2017,1WNoKxsp715jez1Td4vthc,Electric Callboy
Crystals,album,13,2015,1WNoKxsp715jez1Td4vthc,Electric Callboy
We Are the Mess (Deluxe Edition),album,13,2014,1WNoKxsp715jez1Td4vthc,Electric Callboy
We Are the Mess,album,12,2014,1WNoKxsp715jez1Td4vthc,Electric Callboy
Bury Me in Vegas,album,11,2012,1WNoKxsp715jez1Td4vthc,Electric Callboy
Ende nie,album,12,2024,6Kg9EvjSnEm5swmrvWCJyB,Wanda
Wanda,album,12,2022,6Kg9EvjSnEm5swmrvWCJyB,Wanda
Ciao! (Deluxe),album,19,2019,6Kg9EvjSnEm5swmrvWCJyB,Wanda
Niente,album,17,2017,6Kg9EvjSnEm5swmrvWCJyB,Wanda
Bussi,album,12,2015,6Kg9EvjSnEm5swmrvWCJyB,Wanda
Amore,album,12,2014,6Kg9EvjSnEm5swmrvWCJyB,Wanda
Pain Remains (Instrumental),album,10,2023,6vXYoy8ouRVib302zxaxFF,Lorna Shore
Pain Remains,album,10,2022,6vXYoy8ouRVib302zxaxFF,Lorna Shore
Immortal - Instrumental,album,10,2021,6vXYoy8ouRVib302zxaxFF,Lorna Shore
Immortal,album,10,2020,6vXYoy8ouRVib302zxaxFF,Lorna Shore
Flesh Coffin,album,10,2017,6vXYoy8ouRVib302zxaxFF,Lorna Shore
Psalms,album,10,2015,6vXYoy8ouRVib302zxaxFF,Lorna Shore
Untitled (Deluxe),album,15,2023,3RNrq3jvMZxD9ZyoOZbQOD,Korn
Requiem Mass (Deluxe Edition),album,14,2023,3RNrq3jvMZxD9ZyoOZbQOD,Korn
Requiem,album,9,2022,3RNrq3jvMZxD9ZyoOZbQOD,Korn
The Nothing,album,13,2019,3RNrq3jvMZxD9ZyoOZbQOD,Korn
The Serenity of Suffering,album,11,2016,3RNrq3jvMZxD9ZyoOZbQOD,Korn
The Paradigm Shift (World Tour Edition),album,20,2014,3RNrq3jvMZxD9ZyoOZbQOD,Korn
The Paradigm Shift (Deluxe),album,13,2013,3RNrq3jvMZxD9ZyoOZbQOD,Korn
The Path of Totality (Special Edition),album,13,2011,3RNrq3jvMZxD9ZyoOZbQOD,Korn
The Path of Totality,album,11,2011,3RNrq3jvMZxD9ZyoOZbQOD,Korn
Korn III: Remember Who You Are (Special Edition),album,14,2010,3RNrq3jvMZxD9ZyoOZbQOD,Korn
Korn III: Remember Who You Are,album,11,2010,3RNrq3jvMZxD9ZyoOZbQOD,Korn
Untitled,album,13,2007,3RNrq3jvMZxD9ZyoOZbQOD,Korn
MTV Unplugged (Live),album,11,2007,3RNrq3jvMZxD9ZyoOZbQOD,Korn
Live & Rare,album,13,2006,3RNrq3jvMZxD9ZyoOZbQOD,Korn
See You On the Other Side,album,14,2005,3RNrq3jvMZxD9ZyoOZbQOD,Korn
Take A Look In The Mirror,album,13,2003,3RNrq3jvMZxD9ZyoOZbQOD,Korn
Untouchables,album,14,2002,3RNrq3jvMZxD9ZyoOZbQOD,Korn
Issues,album,16,1999,3RNrq3jvMZxD9ZyoOZbQOD,Korn
Follow The Leader,album,14,1998,3RNrq3jvMZxD9ZyoOZbQOD,Korn
Life Is Peachy,album,14,1996,3RNrq3jvMZxD9ZyoOZbQOD,Korn
Searching for Solace,album,11,2024,6kQB2RN7WwryMdJ1MoQh1E,The Ghost Inside
Rise From The Ashes: Live At The Shrine,album,20,2021,6kQB2RN7WwryMdJ1MoQh1E,The Ghost Inside
The Ghost Inside,album,11,2020,6kQB2RN7WwryMdJ1MoQh1E,The Ghost Inside
Dear Youth,album,11,2014,6kQB2RN7WwryMdJ1MoQh1E,The Ghost Inside
Get What You Give,album,11,2012,6kQB2RN7WwryMdJ1MoQh1E,The Ghost Inside
Returners,album,11,2010,6kQB2RN7WwryMdJ1MoQh1E,The Ghost Inside
Fury and the Fallen Ones,album,12,2008,6kQB2RN7WwryMdJ1MoQh1E,The Ghost Inside
Prepare For Despair,album,11,2023,5Vp7LqcfAtx2U1RfIX8i7r,Point North
"Punk Goes 90's, Vol. 2",album,12,2014,05DSiNi8z8w8iXz34JfHse,Punk Goes
aurorawave,album,13,2024,5ERzKZCMDsFeH15G80MFSS,aurorawave
The Hell We Create,album,10,2022,0OgdRTPItr9dw4XYp4JJUx,Fit For A King
FISSION,album,13,2024,31M8EXHYtEqOqVb1X7JRVe,Dead Poet Society
-!- (Deluxe),album,22,2021,31M8EXHYtEqOqVb1X7JRVe,Dead Poet Society
-!-,album,16,2021,31M8EXHYtEqOqVb1X7JRVe,Dead Poet Society
Axiom,album,7,2015,31M8EXHYtEqOqVb1X7JRVe,Dead Poet Society
Rare Trax (2023 Remaster),album,19,2023,33EUXrFKGjpUSGacqEHhU4,Iggy Pop
EVERY LOSER,album,11,2023,33EUXrFKGjpUSGacqEHhU4,Iggy Pop
Après (10th-anniversary edition),album,11,2022,33EUXrFKGjpUSGacqEHhU4,Iggy Pop
"Live Olympia (Paris, France - 1991)",album,22,2021,33EUXrFKGjpUSGacqEHhU4,Iggy Pop
The Acid Lands,album,3,2020,5RISqKCcrhGITX2TQAPGPL,Bill Laswell
The Bowie Years,album,75,2020,33EUXrFKGjpUSGacqEHhU4,Iggy Pop
The Bowie Years: Live In ‘77,album,40,2020,33EUXrFKGjpUSGacqEHhU4,Iggy Pop
The Bowie Years: Edits + Out-Takes,album,10,2020,33EUXrFKGjpUSGacqEHhU4,Iggy Pop
Free,album,10,2019,33EUXrFKGjpUSGacqEHhU4,Iggy Pop
Post Pop Depression: Live At The Royal Albert Hall,album,12,2016,33EUXrFKGjpUSGacqEHhU4,Iggy Pop
Leaves Of Grass,album,7,2016,33EUXrFKGjpUSGacqEHhU4,Iggy Pop
Post Pop Depression,album,9,2016,33EUXrFKGjpUSGacqEHhU4,Iggy Pop
Essential,album,14,2011,33EUXrFKGjpUSGacqEHhU4,Iggy Pop
1977,album,41,2010,33EUXrFKGjpUSGacqEHhU4,Iggy Pop
Kill City (Restored Edition),album,11,2010,33EUXrFKGjpUSGacqEHhU4,Iggy Pop
"Where the Faces Shine, Vol. 1 - The Official Live Experience 1977-1981",album,85,2010,33EUXrFKGjpUSGacqEHhU4,Iggy Pop
"Where the Faces Shine, Vol. 2 - The Official Live Experience 1982-1989",album,95,2010,33EUXrFKGjpUSGacqEHhU4,Iggy Pop
California Hitch-Hike,album,16,2010,33EUXrFKGjpUSGacqEHhU4,Iggy Pop
Preliminaires,album,12,2009,33EUXrFKGjpUSGacqEHhU4,Iggy Pop
Live At The Channel (Boston MA 1988),album,16,2007,33EUXrFKGjpUSGacqEHhU4,Iggy Pop
Foregone (Bonus Edition),album,13,2024,57ylwQTnFnIhJh4nu4rxCs,In Flames
Foregone,album,12,2023,57ylwQTnFnIhJh4nu4rxCs,In Flames
Clayman (20th Anniversary Edition),album,16,2020,57ylwQTnFnIhJh4nu4rxCs,In Flames
"I, The Mask (Arcade Version)",album,12,2020,57ylwQTnFnIhJh4nu4rxCs,In Flames
"I, The Mask",album,12,2019,57ylwQTnFnIhJh4nu4rxCs,In Flames
Battles,album,14,2016,57ylwQTnFnIhJh4nu4rxCs,In Flames
Siren Charms,album,13,2014,57ylwQTnFnIhJh4nu4rxCs,In Flames
Sounds Of A Playground Fading,album,13,2011,57ylwQTnFnIhJh4nu4rxCs,In Flames
A Sense of Purpose (The Mirror's Truth Version),album,15,2008,57ylwQTnFnIhJh4nu4rxCs,In Flames
Come Clarity,album,13,2006,57ylwQTnFnIhJh4nu4rxCs,In Flames
Used and Abused (In Live We Trust),album,23,2005,57ylwQTnFnIhJh4nu4rxCs,In Flames
Soundtrack to Your Escape (The Quiet Place Version),album,14,2004,57ylwQTnFnIhJh4nu4rxCs,In Flames
Reroute To Remain,album,17,2002,57ylwQTnFnIhJh4nu4rxCs,In Flames
The Tokyo Showdown (Live in Japan 2000),album,15,2001,57ylwQTnFnIhJh4nu4rxCs,In Flames
Clayman,album,13,2000,57ylwQTnFnIhJh4nu4rxCs,In Flames
Colony,album,12,1999,57ylwQTnFnIhJh4nu4rxCs,In Flames
