Band,Genre
Slipknot,alternative metal
Slipknot,nu metal
Slipknot,rap metal
Slipknot,rock
Electric Callboy,comic metal
Electric Callboy,german metalcore
Electric Callboy,trancecore
Wanda,austropop
Wanda,german indie
Lorna Shore,blackened deathcore
Lorna Shore,melodic metalcore
Lorna Shore,symphonic deathcore
Korn,alternative metal
Korn,funk metal
Korn,hard rock
Korn,nu metal
Korn,post-grunge
Korn,rap metal
Korn,rock
The Ghost Inside,melodic metalcore
The Ghost Inside,metalcore
Dead Poet Society,boston indie
Dead Poet Society,modern alternative rock
Iggy Pop,alternative rock
Iggy Pop,glam rock
Iggy Pop,permanent wave
Iggy Pop,protopunk
Iggy Pop,rock
In Flames,alternative metal
In Flames,gothenburg metal
In Flames,melodic death metal
In Flames,melodic metalcore
In Flames,metal
In Flames,swedish alternative rock
In Flames,swedish death metal
In Flames,swedish melodeath
In Flames,swedish metal
Motionless In White,alternative metal
Motionless In White,metalcore
Knocked Loose,kentucky metal
Knocked Loose,kentucky punk
Apocalyptica,cello
Apocalyptica,finnish metal
Jerry Cantrell,alternative metal
Jerry Cantrell,grunge
Jerry Cantrell,post-grunge
Poppy,alt z
Polaris,australian metalcore
Polaris,australian post-hardcore
Polaris,melodic metalcore
Polaris,metalcore
NOTHING MORE,post-grunge
Kittie,alternative metal
Kittie,canadian metal
Kittie,industrial metal
Kittie,nu metal
VOWWS,dark post-punk
SDP,german pop
SDP,german reggae
Flogging Molly,celtic punk
Flogging Molly,celtic rock
Flogging Molly,punk
Biffy Clyro,modern rock
Biffy Clyro,scottish rock
Airbourne,hard rock
GReeeN,german hip hop
Amaranthe,gothic symphonic metal
Amaranthe,power metal
Amaranthe,symphonic metal
Thrice,post-hardcore
Thrice,screamo
From Ashes to New,post-grunge
From Ashes to New,rap rock
Whitechapel,deathcore
Whitechapel,melodic metalcore
Whitechapel,metalcore
Whitechapel,nu metal
Whitechapel,tennessee metal
Igel vs. Shark,austrian punk
Dream Theater,metal
Dream Theater,progressive metal
Alligatoah,german pop
IDLES,bristol indie
IDLES,crank wave
IDLES,indie rock
IDLES,modern rock
Heaven Shall Burn,german melodeath
Heaven Shall Burn,german metalcore
Heaven Shall Burn,melodic death metal
Heaven Shall Burn,melodic metalcore
Heaven Shall Burn,metalcore
Skillet,alternative metal
Skillet,christian alternative rock
Skillet,christian music
Skillet,christian rock
Me First and the Gimme Gimmes,punk
Me First and the Gimme Gimmes,ska
Me First and the Gimme Gimmes,ska punk
Me First and the Gimme Gimmes,skate punk
LANDMVRKS,melodic metalcore
LANDMVRKS,metalcore
Imminence,metalcore
Imminence,swedish metalcore
Versengold,medieval rock
Bad Wolves,alternative metal
Bad Wolves,metal
Bad Wolves,post-grunge
The Butcher Sisters,german hardcore
All Faces Down,austrian metal
All Faces Down,post-post-hardcore
