id,artist,song_name,song_album,song_release_year,song_popularity
05fG473iIaoy82BF1aGhL8,Slipknot,Duality,Vol. 3: The Subliminal Verses,2004,79
05fG473iIaoy82BF1aGhL8,Slipknot,Psychosocial,All Hope Is Gone (10th Anniversary),2008,75
05fG473iIaoy82BF1aGhL8,Slipknot,Wait and Bleed,Slipknot,1999,74
05fG473iIaoy82BF1aGhL8,Slipknot,Before I Forget,Vol. 3: The Subliminal Verses,2004,75
05fG473iIaoy82BF1aGhL8,Slipknot,Custer,.5: The Gray Chapter (Special Edition),2014,74
05fG473iIaoy82BF1aGhL8,Slipknot,The Devil in I,.5: The Gray Chapter (Special Edition),2014,72
05fG473iIaoy82BF1aGhL8,Slipknot,Eyeless,Slipknot,1999,68
05fG473iIaoy82BF1aGhL8,Slipknot,Snuff,All Hope Is Gone (10th Anniversary),2008,65
05fG473iIaoy82BF1aGhL8,Slipknot,Spit It Out,Slipknot,1999,68
05fG473iIaoy82BF1aGhL8,Slipknot,Unsainted,We Are Not Your Kind,2019,70
1WNoKxsp715jez1Td4vthc,Electric Callboy,RATATATA,RATATATA,2024,71
1WNoKxsp715jez1Td4vthc,Electric Callboy,We Got the Moves,TEKKNO,2022,65
1WNoKxsp715jez1Td4vthc,Electric Callboy,Everytime We Touch - TEKKNO Version,Everytime We Touch (TEKKNO Version),2023,63
1WNoKxsp715jez1Td4vthc,Electric Callboy,Pump It,TEKKNO,2022,61
1WNoKxsp715jez1Td4vthc,Electric Callboy,Tekkno Train,TEKKNO,2022,61
1WNoKxsp715jez1Td4vthc,Electric Callboy,Hypa Hypa,MMXX - Hypa Hypa Edition,2021,59
1WNoKxsp715jez1Td4vthc,Electric Callboy,Spaceman (feat. FiNCH),TEKKNO,2022,59
1WNoKxsp715jez1Td4vthc,Electric Callboy,Fuckboi (feat. Conquer Divide),TEKKNO,2022,56
1WNoKxsp715jez1Td4vthc,Electric Callboy,Arrow of Love,TEKKNO,2022,54
1WNoKxsp715jez1Td4vthc,Electric Callboy,Hate/Love,MMXX - Hypa Hypa Edition,2021,53
6Kg9EvjSnEm5swmrvWCJyB,Wanda,Bologna,Amore,2014,55
6Kg9EvjSnEm5swmrvWCJyB,Wanda,Columbo,Niente,2017,51
6Kg9EvjSnEm5swmrvWCJyB,Wanda,Bussi Baby,Bussi,2015,48
6Kg9EvjSnEm5swmrvWCJyB,Wanda,Bei niemand anders,Ende nie,2024,44
6Kg9EvjSnEm5swmrvWCJyB,Wanda,Therapie,Ende nie,2024,44
6Kg9EvjSnEm5swmrvWCJyB,Wanda,Lascia mi fare,Niente,2017,45
6Kg9EvjSnEm5swmrvWCJyB,Wanda,"1, 2, 3, 4",Bussi,2015,45
6Kg9EvjSnEm5swmrvWCJyB,Wanda,Schickt mir die Post,Amore,2014,44
6Kg9EvjSnEm5swmrvWCJyB,Wanda,"Weiter, weiter",Niente,2017,41
6Kg9EvjSnEm5swmrvWCJyB,Wanda,Wachgeküsst,Ende nie,2024,39
6vXYoy8ouRVib302zxaxFF,Lorna Shore,To the Hellfire,To the Hellfire,2021,61
6vXYoy8ouRVib302zxaxFF,Lorna Shore,Pain Remains I: Dancing Like Flames,Pain Remains,2022,60
6vXYoy8ouRVib302zxaxFF,Lorna Shore,"Pain Remains II: After All I've Done, I'll Disappear",Pain Remains,2022,56
6vXYoy8ouRVib302zxaxFF,Lorna Shore,Of the Abyss,...And I Return To Nothingness - EP,2021,56
6vXYoy8ouRVib302zxaxFF,Lorna Shore,Sun//Eater,Pain Remains,2022,55
6vXYoy8ouRVib302zxaxFF,Lorna Shore,Pain Remains III: In a Sea of Fire,Pain Remains,2022,54
6vXYoy8ouRVib302zxaxFF,Lorna Shore,Into the Earth,Pain Remains,2022,52
6vXYoy8ouRVib302zxaxFF,Lorna Shore,Cursed to Die,Pain Remains,2022,51
6vXYoy8ouRVib302zxaxFF,Lorna Shore,"Welcome Back, O' Sleeping Dreamer",Pain Remains,2022,51
6vXYoy8ouRVib302zxaxFF,Lorna Shore,...And I Return to Nothingness,...And I Return To Nothingness - EP,2021,49
3RNrq3jvMZxD9ZyoOZbQOD,Korn,Freak On a Leash,Follow The Leader,1998,78
3RNrq3jvMZxD9ZyoOZbQOD,Korn,Coming Undone,See You On the Other Side,2005,75
3RNrq3jvMZxD9ZyoOZbQOD,Korn,Falling Away from Me,Issues,1999,72
3RNrq3jvMZxD9ZyoOZbQOD,Korn,Y'all Want a Single,Take A Look In The Mirror,2003,65
3RNrq3jvMZxD9ZyoOZbQOD,Korn,Got the Life,Follow The Leader,1998,71
3RNrq3jvMZxD9ZyoOZbQOD,Korn,Blind - Live at CBGB,Live & Rare,2006,61
3RNrq3jvMZxD9ZyoOZbQOD,Korn,Twisted Transistor,See You On the Other Side,2005,69
3RNrq3jvMZxD9ZyoOZbQOD,Korn,Word Up!,Word Up! (The Remixes),2004,65
3RNrq3jvMZxD9ZyoOZbQOD,Korn,Here to Stay,Untouchables,2002,63
3RNrq3jvMZxD9ZyoOZbQOD,Korn,A.D.I.D.A.S.,Life Is Peachy,1996,65
6kQB2RN7WwryMdJ1MoQh1E,Point North,Safe And Sound,Prepare For Despair,2023,62
6kQB2RN7WwryMdJ1MoQh1E,The Ghost Inside,Engine 45,Get What You Give,2012,51
6kQB2RN7WwryMdJ1MoQh1E,The Ghost Inside,Wash It Away,Searching for Solace,2024,51
6kQB2RN7WwryMdJ1MoQh1E,The Ghost Inside,Death Grip,Searching for Solace,2024,47
6kQB2RN7WwryMdJ1MoQh1E,The Ghost Inside,Aftermath,The Ghost Inside,2020,49
6kQB2RN7WwryMdJ1MoQh1E,The Ghost Inside,Earn It,Searching for Solace,2024,45
6kQB2RN7WwryMdJ1MoQh1E,The Ghost Inside,Split,Searching for Solace,2024,45
6kQB2RN7WwryMdJ1MoQh1E,The Ghost Inside,Avalanche,Dear Youth,2014,45
6kQB2RN7WwryMdJ1MoQh1E,The Ghost Inside,Pressure Point,The Ghost Inside,2020,44
6kQB2RN7WwryMdJ1MoQh1E,The Ghost Inside,Light Years,Searching for Solace,2024,44
31M8EXHYtEqOqVb1X7JRVe,Dead Poet Society,Running In Circles,FISSION,2024,55
31M8EXHYtEqOqVb1X7JRVe,Dead Poet Society,HURT,FISSION,2024,53
31M8EXHYtEqOqVb1X7JRVe,Dead Poet Society,.intoodeep.,-!- (Deluxe),2021,53
31M8EXHYtEqOqVb1X7JRVe,Dead Poet Society,My Condition,FISSION,2024,48
31M8EXHYtEqOqVb1X7JRVe,Dead Poet Society,.CoDA.,-!- (Deluxe),2021,48
31M8EXHYtEqOqVb1X7JRVe,Dead Poet Society,I hope you hate me.,FISSION,2024,46
31M8EXHYtEqOqVb1X7JRVe,Dead Poet Society,American Blood,American Blood,2018,45
31M8EXHYtEqOqVb1X7JRVe,Dead Poet Society,Lo Air,Lo Air,2016,44
31M8EXHYtEqOqVb1X7JRVe,Dead Poet Society,Uto,FISSION,2024,44
31M8EXHYtEqOqVb1X7JRVe,Dead Poet Society,I Never Loved Myself Like I Loved You,-!- (Deluxe),2021,43
2Al4uC6hNyJsMY6cWfvlh2,TBA,Day by Day,Is This Loss?,2019,10
2Al4uC6hNyJsMY6cWfvlh2,TBA,Loony Toony,Is This Loss?,2019,7
2Al4uC6hNyJsMY6cWfvlh2,TBA,OK,Is This Loss?,2019,4
2Al4uC6hNyJsMY6cWfvlh2,TBA,Nothing on My Mind,Is This Loss?,2019,3
2Al4uC6hNyJsMY6cWfvlh2,TBA,Stundum,Stundum / Sýndu mér allt,2021,3
2Al4uC6hNyJsMY6cWfvlh2,TBA,Sýndu mér allt,Stundum / Sýndu mér allt,2021,2
33EUXrFKGjpUSGacqEHhU4,Iggy Pop,The Passenger,Lust For Life,1977,70
33EUXrFKGjpUSGacqEHhU4,Iggy Pop,Lust For Life,Lust For Life,1977,59
33EUXrFKGjpUSGacqEHhU4,Iggy Pop,Real Wild Child (Wild One),Blah-Blah-Blah,1986,57
33EUXrFKGjpUSGacqEHhU4,Iggy Pop,Candy,Brick By Brick,1990,56
33EUXrFKGjpUSGacqEHhU4,Måneskin,I WANNA BE YOUR SLAVE (with Iggy Pop),I WANNA BE YOUR SLAVE (with Iggy Pop),2021,48
33EUXrFKGjpUSGacqEHhU4,Iggy Pop,Nightclubbing,The Idiot,1977,46
33EUXrFKGjpUSGacqEHhU4,Iggy Pop,Little Know It All,Skull Ring,2003,44
33EUXrFKGjpUSGacqEHhU4,Iggy Pop,"In The Deathcar - ""Arizona Dream"" Original Motion Picture Soundtrack",30 ans déjà : 1993,2023,35
33EUXrFKGjpUSGacqEHhU4,Iggy Pop,Tonight,Lust For Life,1977,39
33EUXrFKGjpUSGacqEHhU4,Iggy Pop,Livin' On The Edge Of The Night,Brick By Brick,1990,39
57ylwQTnFnIhJh4nu4rxCs,In Flames,Only for the Weak,Clayman,2000,62
57ylwQTnFnIhJh4nu4rxCs,In Flames,Meet Your Maker,Foregone,2023,58
57ylwQTnFnIhJh4nu4rxCs,In Flames,The Jester's Dance,The Jester Race (Black Ash-Inheritance Version),1996,59
57ylwQTnFnIhJh4nu4rxCs,In Flames,I Am Above,"I, The Mask",2019,45
57ylwQTnFnIhJh4nu4rxCs,In Flames,Cloud Connected,Reroute To Remain,2002,56
57ylwQTnFnIhJh4nu4rxCs,VOLA,Cannibal (feat. Anders Fridén of In Flames),Cannibal (feat. Anders Fridén),2024,54
